Title,URL,Info
Python Django Developer (Junior/Middle/Senior),http://work.ua/jobs/2318935/,"
Повна зайнятість, неповна зайнятість, готові взяти студента, готові взяти людину з інвалідністю.
Citirex is a modern young (6 year old) startup with projects from all over the world. We are based in a comfortable…"
Middle Python developer,http://work.ua/jobs/3641562/,"
Повна зайнятість. Досвід роботи від 2 років.
Національна енергетична компанія «Укренерго» запрошує прийняти участь в конкурсі на заміщення вакантної…"
Python-програміст,http://work.ua/jobs/3657735/,"
Повна зайнятість, дистанційна робота. Досвід роботи від 1 року.
Мы немецкая компания, которая работает в сфере AI. Сейчас ищем Python Developer в проект https://kernel.capital…"
QA Engineer (Python),http://work.ua/jobs/3640374/,"
Повна зайнятість. Досвід роботи від 1 року.
Кто мы: Продуктовая IT компания, находящаяся на рынке более 7 лет. Наш штат состоит из 100+ сотрудников…"
QA engineer (Python),http://work.ua/jobs/3640458/,"
Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
Кто мы: Продуктовая IT компания, находящаяся на рынке более 7 лет. Наш штат состоит из 120+ сотрудников…"
"Преподаватель информатики, Unity, Python на курсы для детей",http://work.ua/jobs/3452741/,"
Неповна зайнятість, готові взяти студента.
Ми, Українська ІТ-школа СМАРТ, яка навчає дітей інноваційним-комп'ютерним технологіям, прагненню покращувати…"
Senior Python engineer,http://work.ua/jobs/3450915/,"
Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
Must Have: — Overall software engineering experience — 5+ years — Python 3 development experience — 3+…"
Full-stack (JS/Python) developer,http://work.ua/jobs/3484268/,"
Повна зайнятість. Досвід роботи від 2 років.
Our Sweden-based client is a company which aims to harness the benefits of globalisation and the Internet…"
Программист Python,http://work.ua/jobs/3228006/,"
Неповна зайнятість, готові взяти студента, готові взяти людину з інвалідністю. Досвід роботи від 1 року. Незакінчена вища освіта.
Требуется программист для разработки несложного серверного приложения на Python c использованием REST…"
"​Automation QA Engineer for Moon Active (Python, 190002RL)",http://work.ua/jobs/3597598/,"
Повна зайнятість. Досвід роботи від 2 років.
On behalf of Moon Active, we are looking for experienced Automation QA Engineer (Python) to join Kyiv…"
Python Developer,http://work.ua/jobs/3428264/,"
Повна зайнятість. Досвід роботи від 1 року.
Кто мы? Продуктовая IT компания, находящаяся на рынке более 5 лет. Наш штат состоит из 100+ сотрудников…"
Python developer,http://work.ua/jobs/3395311/,"
Повна зайнятість. Досвід роботи від 2 років.
Our client is a genomics company with a focus on interpreting genetic diseases. Their product is a next…"
Automation QA Engineer (Python),http://work.ua/jobs/3556721/,"
Повна зайнятість. Досвід роботи від 2 років.
Playson is a leading online gaming supplier with a worldwide recognition which was founded in 2012. We offer…"
Senior Python QA Automation Engineer (Switch Products),http://work.ua/jobs/3570268/,"
Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
Responsibilities:   Deliver new upcoming Unifi switch product.   Design, develop and execute automation…"
