Vacancy,URL,Company,Info
Разработчик Python/Django + React.js,https://kiev.hh.ua/vacancy/32872855?query=python, Ivelum," Это вакансия для фуллстек-разработчиков уровня ""middle"" или ""senior"". Мы ожидаем, что у вас уже есть опыт в веб-разработке..."
Python / Django Developer,https://kiev.hh.ua/vacancy/33056192?query=python, Tribu,Involved in A/B testing for different machine learning models. Key Experience Required: Excellent Python coding with Web Frameworks Flask or Django. Experience with Python2 & Python3. 
Senior Python Developer,https://kiev.hh.ua/vacancy/32800768?query=python,ООО ФЛП Воронова И.Н.,Distributed systems programming. Async programming with asyncio. Docker. OpenCV. Help create the best AI platform in the marketplace. Redis. Will be a plus: TCP/IP. Vuejs. Mysql. C++.
Data Scientist,https://kiev.hh.ua/vacancy/32673148?query=python,ООО Admixer. Advertising Technologies,"Анализ и структурирование массивов данных о закупаемом трафике (desktop, mobile). Оценка объемов, качества и эффективности монетизации рекламного инвентаря (отчеты о... ...применения python scientific stack, библиотек для бустинга, DL фреймворков. Опыт работы с Java/Scala, Apach Spark/Hadoop или Python (NumPy..."
Middle Python Developer,https://kiev.hh.ua/vacancy/32632355?query=python," Альфа-Банк, Украина","Цікаві та масштабні проекти: Ти будеш частиною команди, яка реалізовує інновації, що змінюють життя. Ти будеш пишатися і розповідати про... Досвід роботи в Python, Linux, Java 8. Бажано досвід роботи з KAFKA."
Junior Data Analyst,https://kiev.hh.ua/vacancy/31882992?query=python, Genesis,"Создавать аналитические инструменты для принятия или оптимизации решений. Мониторить основные показатели продукта, искать причины отклонений и возможности для роста.  У тебя развиты аналитические навыки и ты действительно умеешь работать с цифрами. У тебя есть опыт работы с SQL. "
Data Scientist  to Finland,https://kiev.hh.ua/vacancy/33175489?query=python, We Got Talent OY,"Write SQL queries and Python/R scripts to analyze data. Work on revenue related analyses and investigations e.g.  Good knowledge of Python and/or R related packages. Advanced skills in data visualization. Experience with dashboarding platforms, such as..."
Middle Backend разработчик,https://kiev.hh.ua/vacancy/31795219?query=python, Genesis,"Автоматизация процессов по retention и remarketing направлениях. Выделение микросервисов с монолитного приложения. Разработка нового и поддержка существующего функционала сайта.  Стремление к развитию. Знание других языков программирования (Go, C#, Java, Python). Умение оптимизировать SQL запросы. Знание kubernetes. Понимание принципов DDD. "
Python developer for Imunify360 (Remote),https://kiev.hh.ua/vacancy/32949539?query=python, Cloud Linux,"Formulate new and alternate ideas, approaches, and designs. Open to and values collaboration and feedback from others. 3+ years of programming experience. Strong knowledge of Python. Strong Linux knowledge. Good shell scripting skills. Web-services development..."
Network QA Engineer,https://kiev.hh.ua/vacancy/33080747?query=python, Ubiquiti,"Ubiquiti Networks is an American technology company started in 2005. Based in New York, NY, Ubiquiti manufactures wireless data communication... at least one). Experience with QA Automation in Python. Good team player who can work both independently and also as..."
Data Science/Machine Learning Engineer,https://kiev.hh.ua/vacancy/32820736?query=python, SoftServe,"Research, design and implement machine learning algorithms for Media and Retail industries. Data mining and artificial intelligence techniques to design... Having practical experience in high-level programming languages and framework – Python and/or R. Experienced with data visualization tools, such..."
Middle Back End Developer,https://kiev.hh.ua/vacancy/31795207?query=python, Genesis,"Process automation for retention & remarketing microservices. Breaking a monolith into microservices. Development of new and support of existing website features.  Knowledge of additional programming languages (Go, C#, Java, Python). Experience of SQL query optimization. Knowledge of Kubernetes. Good understanding of..."
DevOps Engineer,https://kiev.hh.ua/vacancy/32271358?query=python, Genesis,"Optimize and automate the existing processes. Build processes using the best up to date solutions. Configure web servers. Deploy websites.  Solid experience with MySQL. Ability to write automation scripts (Python, Bash, etc.). Previous work experience with monitoring and alerting tools. "
Integration Engineer,https://kiev.hh.ua/vacancy/32996188?query=python,ООО GlobalLogic Ukraine,"Responsible for integration and support in assigned product areas to Harmonic's regional customer support engineers and, when necessary, customers... ...satellite, cable, telco or a similar domain. Experience with bash/python scripting. Experience with Salesforce, Jira, Confluence. Ability to work..."
Product Data Analyst,https://kiev.hh.ua/vacancy/31663550?query=python, Genesis,Находить в данных ответы на сложные вопросы от бизнеса. Создавать и развивать существующие внутренние аналитические инструменты для принятия или оптимизации... SQL + BI (Tableau / Power BI / QLikView) + R / Python - наш data стек. Превосходное чувство цифр и любовь к ним...
Data analyst (E-commerce Product),https://kiev.hh.ua/vacancy/31663565?query=python, Genesis,Анализ маркетинговых кампаний и продуктовых тестов. Построение сегментов и прогнозирование LTV. A/B тестирование. Построение алгоритмов автоматической закупки. Базовый английский. Отличное знание математики. Уверенное знание Python/R. Хорошее знание SQL. Опыт работы в Google Adwords. Опыт работы c...
