Title,Company,Info
Title,Company,Info
Leading Data scientist / BI analyst,"Factum Group 
										","Ведущий эксперт - Data scientist / BI Analyst - в динамично растущую команду Factum Group. ;Требования:Высшее образование: статистика, маркетинг или экономика.Опыт работы в сфере статистики / бизнес анализа..."
Data Analyst / Data Scientist,"SocialTech 
										","SocialTech is a multimillion IT company and a game-changer in the social discovery niche. Our HQ are located in Kiev. ;We manage a leading product in the industry, and all our key metrics keep growing..."
Data Science/Machine Learning Engineer,"SoftServe 
										","WE ARESoftServe is transforming the way thousands of global organizations do business by developing the most innovative technologies and processes in Big Data, Internet of Things (IoT), Data Science and..."
Python Django Developer (Junior/Middle/Senior),"Citirex 
										",Citirex is a modern young (6 year old) startup with projects from all over the world.We are based in a comfortable office in the heart of central Kiev.We are looking for Senior / Middle / Junior Python/Django...
Data Analyst / Data Scientist,"Genesis 
										","Генезис ;- одна из крупнейших IT-компаний в Украине и одна из самых сильных высокотехнологичных команд в Восточной Европе. Мы - это более 1000 человек в 8 странах, которые создают продукты для 200 миллионов..."
Senior/Lead Data Science Engineer,"Zoral 
										","Zoral, a leading provider of research and development software, is hiring a strong Data Science Engineer in its development center in Kiev. ;Responsibilities:As a member of highly skilled Data Science..."
Middle Big Data Engineer,"Vodafone Україна  
										","Vodafone Україна - компанія світового рівня, що займає провідні позиції у сфері нових технологій. Щодня ми працюємо над впровадженням амбітних проектів з Cloud Services, Big Data, IoT, Smart City. ; ;З..."
Software Engineer (Python) (Aviation Domain),"Sigma Software 
										",We ;welcome a ;Software Engineer (Python) to ;be ;a ;part of ;our experienced team working with the best airlines in ;the world. Join our team in ;Ukraine if ;you like to ;facilitate people's lives! ;PROJECTThe...
"Senior Python Developer, Rental Platform","DataArt 
										","Our client developed a platform for real estate agents. The service allows to distribute ads on social networks, track user activity, and manage them on a single cloud platform. ;DataArt's specialists..."
Преподаватель Python,"Шаг, Компьютерная Академия 
										","Компьютерная Академия ШАГ - крупнейшее международное учебное заведение, специализирующееся на компьютерном образовании. Работаем с 1999 года. Открыто 72 филиала в 18 странах мира.ШАГ - крупнейший авторизованный..."
Інженер CI/CD (DevOps),"Альфа-Банк 
										","Альфа-Банк Україна вже багато років допомагає у досягненні цілей та реалізації мрій! Ми надаємо сучасні банківські рішення для клієнтів усіх сегментів: від приватних осіб до мега-холдингів, будучи одним..."
Middle Python Developer (World of Tanks Kyiv),"Wargaming / Persha Studia 
										",World of Tanks Kyiv is looking for a Middle Python Engineer to join the Team on a full-time basis. As an Engineer you will be focusing on development of new features and modes for World of Tanks. It will...
Middle/Senior Full Stack Backend Developer (IRC80507),"GlobalLogic Ukraine 
										","GlobalLogic Ukraine is inviting a Middle/Senior Full Stack Backend Developer ;to join its Kyiv office.Cambium Networks is a dynamic, growth-oriented company serving an exponentially growing industry.Cambium..."
Junior Software Developing Engineer,"Huawei Ukraine LLC / Хуавей Україна, ТОВ 
										","About Huawei Technologies Ukraine Huawei is a global leader of ICT solutions. Continuously innovating based on customer needs, we are committed to enhancing customer experiences and creating maximum value..."
Senior Python Back End Developer,"MeekoTeams 
										","About:working product that we are continuously developingbackend runs on AWS EC2s, we have CI/CD that deploys new versions automaticallydatabases are mostly AWS RDS running postgresql, we have a couple..."
Junior Python-разработчик,"Profit Center FX  
										","Привет! Обычно здесь пишут о достижениях и великолепии компании, но это те вещи, о которых нужно не говорить, а показывать на деле. Я вам предлагаю ознакомиться с описанием вакансией, ""примерить"" на себя,..."
Full Stack Python Developer,"Sigma Software 
										",We are looking for an experienced Full Stack Python Developer to join our company listed in The Global Outsourcing 100 ranking. ;Together we are developing a wide set of projects starting from enterprise...
Python SW Engineer #6797,"Lohika 
										","PURPOSE OF THE JOBTake part in implementation of backend subsystem, which isdealing with different data sources service and exporting dataanalyzing and aggregating datacreating and providing API for front-end..."
Big Data Software Engineer,"SoftServe 
										","WE ARE ;SoftServe is transforming the way thousands of global organizations do business by developing the most innovative technologies and processes in Big Data, Internet of Things (IoT), Data Science..."
